pseudonym,group,performance,pre,post,gain,frustration,comprehension
4795442a,ChatGPT,88.9,6,6,0,4,1
e9bfb8e6,ChatGPT,88.9,4,6,2,5,2
638d4471,ChatGPT,44.4,4,5,1,4,1
a9c89ee2,Iris,100.0,1,2,1,2,2
da087795,ChatGPT,100.0,0,3,3,2,3
776b8c5f,Iris,0.0,1,1,0,2,3
2532863b,Iris,100.0,4,4,0,2,3
5b05b2e4,No AI,0.0,2,1,-1,4,1
f06b9341,No AI,22.2,1,3,2,4,2
048786a2,Iris,100.0,2,3,1,4,2
e9c40c0d,ChatGPT,44.4,1,2,1,3,0
1182e50a,No AI,66.7,2,3,1,2,2
c13fef9d,No AI,0.0,0,5,5,5,2
1b46525d,No AI,0.0,2,3,1,5,1
456791c0,No AI,66.7,3,4,1,5,0
fa57d0be,ChatGPT,44.4,1,2,1,3,0
9cba6482,No AI,0.0,2,1,-1,5,1
fbdff20a,ChatGPT,100.0,3,3,0,2,2
04bc6c92,Iris,44.4,2,4,2,4,1
c608046f,No AI,0.0,2,1,-1,5,1
9cade01e,ChatGPT,100.0,2,4,2,2,1
a2ef4043,Iris,100.0,6,6,0,3,2
de904e46,Iris,88.9,2,2,0,4,1
cee83d8c,ChatGPT,66.7,3,5,2,3,3
dbcd30f6,No AI,100.0,4,6,2,5,3
89488026,Iris,44.4,2,2,0,1,2
0d6d94df,ChatGPT,100.0,3,5,2,3,1
07796d45,Iris,0.0,4,3,-1,4,1
38fa1656,No AI,0.0,2,2,0,4,1
78a2c130,No AI,44.4,0,2,2,5,1
0be866b5,ChatGPT,44.4,1,5,4,3,1
41b06e65,Iris,44.4,1,4,3,5,0
48a19040,No AI,100.0,1,5,4,4,2
2aae6f39,Iris,66.7,6,6,0,2,3
4d2fe8a7,No AI,44.4,0,1,1,5,1
8faf5b82,ChatGPT,100.0,5,6,1,3,1
d9330ba0,Iris,100.0,4,5,1,4,3
d0940d7c,ChatGPT,44.4,0,1,1,4,1
c91969d8,ChatGPT,100.0,0,1,1,4,3
f83d4042,No AI,100.0,3,6,3,5,0
8aa2f17f,ChatGPT,100.0,1,1,0,5,1
3d8291b9,ChatGPT,100.0,3,4,1,2,1
d51d1360,ChatGPT,100.0,3,4,1,2,2
0538c43e,ChatGPT,100.0,6,6,0,5,2
