Days,Mean,SD,LowerSD,UpperSD,SE,LowerCI,UpperCI,N
0,256.6518055555555,32.12945106498127,224.52235449057423,288.78125662053674,7.5729842412832,241.8087564426404,271.49485466847057,18
1,264.49575555555555,33.43033366793806,231.0654218876175,297.9260892234936,7.879605211309317,249.0517293413893,279.93978176972183,18
2,265.36190000000005,29.473423347403912,235.88847665259613,294.83532334740397,6.946952504577074,251.74587309102898,278.9779269089711,18
3,282.9920111111111,38.857738474350846,244.13427263676024,321.84974958546195,9.158856792262299,265.040651798277,300.94337042394517,18
4,288.6494222222222,42.537886649689476,246.11153557253272,331.1873088719117,10.026276035780047,268.9979211920933,308.3009232523511,18
5,308.5184555555555,51.76962454760766,256.74883100794784,360.2880801031631,12.20221752569831,284.60210920518676,332.4348019059242,18
6,312.17825555555555,63.17372020759361,249.00453534796193,375.35197576314914,14.890188650523692,282.99348580052913,341.363025310582,18
7,318.75058333333334,50.10396294317329,268.64662039016,368.85454627650665,11.80961732047911,295.6037333851943,341.8974332814724,18
8,336.62950555555557,60.1997160768512,276.4297894787044,396.82922163240676,14.189209154482105,308.8186556127706,364.4403554983405,18
9,350.8512222222222,66.98615546941338,283.86506675280884,417.83737769163554,15.78878825934618,319.90519723390366,381.7972472105407,18
